text,emotion
낡은 너의 마음을 씻는 법 세상이 내게 알려준 건 하 날 잃고서 다른 하 날 얻을 때 배우는 건 두 주먹을 쥐는 법 비겁 해질 마음은 없어 시간이 아까워 남 손가락질하면서 쓰는 그들의 추잡한 양면성의 가면도 돌아보면 자연스러운 세상의 속성이건 introduction 느낀다면 너가 쓴 두꺼운 껍데기를 벗어 천국으로 가는 지름길은 없고 도망가다가 도착한 곳에 빛은 없어 누군가에 겐 나는 기형적인 그래 힙합이라는 boundary 밖의 범위 난 그저 나를 담아냈고 어떤 이는 깎아내려 다시 돌아보면 항상 우린 걔네보다 better2008 겨울 유난히 춥던 인생의 weather2009 내 크루를 만 나 부모님의 반대에도 2010 나도 방구석에서 마이크 스웨거하루 종일 땀에 젖은 나의 sweater 열 안 내려 어둡지 않아 밤이 왜냐면 내 꿈이 잡힐 듯 눈앞의 좁은 문 앞에선 아까워 잠이 2011 일이 되 버린 이 짓도 field에서 겁 안내고 kick off2012 앨범 더 내고 땀을 내 여전히 솔직히 날 몇 명이 알아보던,2
내 껄 해 떳떳이 다 엿 먹이고 묻어 버리고 싶었지만 내 분노는 것보다 깊었지 2013 첫 정규가 나와 동료들에게 감사해 질투하던 새끼들은 우리의 성공이나 관람해 came from the bottom now we hereye 배불러도 내 입술에 바른 건 내 skill2014 도 다를 건 없었지 내 겐 영감이 넘쳐 좁아 진 고막 속에 곡을 붓는 dump truckI ain’t talkin’ bout rap it's the fact 내 유행하는 노랠 너의 폰 안에 내가 떠날 땐 웃으면서 기차표를 끊어 줘야 돼 그때 유행하는 노래 들을 폰 안에 가득 남겨 놓고 떠날 게 내가 떠날 땐 웃으면서 기차표를 끊어 줘야 돼 그때 유행하는 노래들을 너의 마음에 가득 남겨 놓고 떠날게,2
it's gonna be alright 나의 버릇이 된 하루가 지나고 it's a lot of stain 이유 없이 눈물이 나다가도 아무렇지 않게 웃어 난 좋은 친구가 될 수 없어 가까이 오지 마 제발 아무 일도 없었어 너까지 날 닮아 갈 필요 없어 i don't wanna miss a thing i wishi don't wanna miss a thing i wishdown on my knee'sdown on my knee's 왜 숨을 쉬지 못해 아직 난 어린데 죽지 않게 해 달라 기도를 해 매일 매일 이제 난 어디에도 없네,2
i don't mind please leavedon't mindi don't mind please leavedon't mindi'll shout it outlike a bird set free 하늘 높이 닿아 있지 다 들 그 대론 데 나만 변해 있네,2
어 울리지 못해 섞이지도 못해 지킬 힘도 없지 이 건 큰 욕심도 아닌데 또 멀어 지네 it's gonna be alrightit's gonna be alrightit's gonna be alrightbe alright be alrightbe alright you know thatit's gonna be alrightit's gonna be alrightit's gonna be alrightbe alright be alrightbe alright you know thatit's gonna be alright 진심이야 전부 앞으로도 결국 괜찮아 질 거야 it's gonna be alright 숨이 막혀 와도 별일 아니니까 괜찮아 질 거야 it's gonna be alright 사실은 버거워 나도 가끔은 내려놓고 싶어 it's gonna be alright 매일이 힘들어 날 혼자 있게 하지 마 제발 It's gonna be alright 숨을 쉬는 이 시간도 아까워서 숨을 참곤 해난 간간이 내가 이상하냐라고 묻곤 해 그럼 대부분 넌 멀쩡하다고,2
말하지 근데 왜 나 혼자 걷고 있어 지금 내 옆엔 누가 남아 있어 이 길은 어디 가 끝이고 시작일까 행복하지 않으면 그건 불행인가 필요한가 괜찮은데 왜 매일 나를 괴롭혀 나 좀 내버려 둬 it's gonna be alrightit's gonna be alrightit's gonna be alrightbe alright be alrightbe alright you know thatit's gonna be alrightit's gonna be alrightit's gonna be alrightbe alright be alrightbe alright you know thatit's gonna be alright 진심이야 전부 앞으로도 결국 괜찮아 질 거야 it's gonna be alright 숨이 막혀 와도 별일 아니니까 괜찮아 질 거야 it's gonna be alright 사실은 버거워 나도 가끔은 내려놓고 싶어 it's gonna be alright 매일이 힘들어 날 혼자 있게 하지 마 제발 I'm used to lonelinessbut I don't want to be forgottenI'm used to lonelinessbut I don't want to be forgottenI'm used to lonelinessbut I don't want to be forgottenI'm used to loneliness,2
도난 안돼 아직 만족을 못해 내 음악 모두가 살 때까지 팔아 더 발악해 wild out get crazy 나답게 더 hot 하게 가 i keep blazin 나는 나다 나의 등에 적힌 대로 전설이 되어 죽지 내 손등에 적힌 대로 여긴 내 고향은 아니지만 이름에 적힌 대로 높을 준 서울 경 mister lee baby you know mejus come hate it or love it 어차피 모든 결관 같지 날 밟아 봤자,2
나를 밟는 니들 열만 받지 내 랩 10점 만점에 언제나 열만 받지 그러니 안 설쳐도 나는 돈 되는 연락 받지 다시 일어서 i gotta be more strong 아직 할 말이 더 남아 있어 baby let's goi'mma show it to the worldto the world 아직 할 말이 더 남아 있어 baby let's goi'mma show it to the worldthe solo notorious gonzothunderground musik map the souleverybody it's me it's meit's me it's me it's meit's me it's me it's methe solo notorious gonzothunderground musik map the souleverybody it's me it's meit's me it's me it's meit's me it's me it's me,2
시작은 위 현재는 밑 미래는 위 저 높이 날아가는 새의 날갯짓처럼 그리는 V 그림은 짙고 뿌리는 깊어 like'em trees get cheese 좋은 기분으로 나눠 드리는 peace 부정적인 고민들은 다 버려 떨어질까 두려워 벌벌 떨지 않아 일단 모두 걸어 맘을 열어 grand openin grand closinggrand hustlin grand flossin yessir 세상은 내 것 back up take ur hands off 내 몸에 새겨진 태도 better swaggathan you 나는 못하는 걸 못해 미안해 let's do it 나를 믿지 못하는 니 앞에 그래,2
yeah i'm back 나를 알아봐 어서 내가 누 군지 모른다면 가서 찾아봐 어서 다 들 따라 와 어서 now you gotta see whats up 내 새 앨범 나왔으니 바로 사러 가 어서 get'em 다시 일어서 i gotta be more strong 아직 할 말이 더 남아 있어 baby let's goi'mma show it to the worldto the world 아직 할 말이 더 남아 있어 baby let's goi'mma show it to the worldthe solo notorious gonzothunderground musik map the souleverybody it's me it's meit's me it's me it's meit's me it's me it's methe solo notorious gonzothunderground musik map the souleverybody it's me it's meit's me it's me it's meit's me it's me it's me,2
Yeah Uh Amoeba Culture presents to youD double nafla 뛰어넘어 Jump over the slump Jump over the slump 몇 번을 극복한지 넌 상상도 못해 난 에어 워크와 문 워크를 보며 큰 세대 뜨내기 랩 퍼 된 동료들 술 사 주면서 그 따위 슬럼프는 껌이었지만 이번엔 좀 센 게 왔지 무너진 밸런스 병자의 발자국처럼 살았지 앰뷸런스 날 데려가 맑은 정신에도 불안해 만취 운전자 뒤를 따라가는 기분 마음에 창엔 최루탄 일단 살고 봐야지,2
행복은 다음 step 빠른 쉼 호흡과 눈에 밟히는 둘째의 초음파 내 불안전한 일상을 기록할 작은 공간인 에어백 없는 차에 올라 타 음악을 룹해 경의를 표하지 클 라우스 루 떼 잔잔한 강가에 날 두 네 바닥 평정은 뒤로 우선 마음의 평정 내 존재를 어제보다 평범하게 한 다음 한 글자 운을 띄워 I ain’t fuckin around no more 갈 대로 간 삶 진짜를 보여줄게,2
기다려 놔 실패를 하기엔 아직 밝아 My future so bright jump over the slump 배 틀 앞에 젠 틀한 척하는 퇴물이란 베플 스캔들이란 태풍 앞에 위태로운 캔들 삐끗 하면 게임 끝 사방이 함정 눈물로 겨우 삼켜 소화 안 되는 스케줄부담의 무게 무거워 초조해 내 집 같던 무대도 무서워 겉으로는 익살 쿨한 척 웃을 때 내 속은 이미 익사 썩었지 퉁퉁 불었어 작업실은 사막 창작의 기근 문과 인 내게 가사 한 줄조차 미분처럼 어려워 난 얼음처럼 얼어서 시간을 많이 버렸지만 딱 흘린 땀 만큼은 가벼워 졌어 그 땐 피했지 사람들의 눈 이젠 안겨 기대지 내 사람들의 품 다시금 웃으며 얘기해 추락 그리고 비행 We back with the 온기와 지혜 I ain’t fuckin around no more 갈 대로 간 삶 진짜를 보여줄게,2
기다려 놔 실패를 하기엔 아직 밝아 My future so brightjump over the slumpI be painting my pictures white 처음부터 다시 하면 되는 게 my advice 예상한 대로 흘러가니 slump 따위는 넘어가 cuz I ain’t fuckin around with my life 다시 누른 녹음 버튼 언제나 drunken 힙합에 취해 누가 됐든 앞이면 fuck emalways be back with 용기와 기백 이미 알고 있겠지 배울 게 많을 실패 so I spit raw sing louder 아직은 일러 여전히 할 게 많아 got mouths to feed 현실은 차갑지 아직 눈 감기는 일러 알 사람은 알지 내가 Scene stealer 흘리는 땀이 증명 해이 렇겐 안 무너져 I’m an educated manshure 58 앞이 행복하면 됐지,2
Jam & butter-flyoh ahfeelin’ sweet insideoh mycaramello highso highwhen I take a biteof ya 먹음 직 스러워 your love 네 가 계속 고파 구름을 뚫고 you send me above63 빌딩보다 높아 흐려 지게 해 넌 부러지게 해 넌 어지럽게 해 넌 넘어지게 해 넌 멈추질 못해 oh no 땀을 흘려 난 더네가 꿀이라면 난 벌 she’s coming on my loveJam & butter-flyoh ahfeelin’ sweet insideoh mycaramello highso highwhen I take a biteof ya 취향 저격당해,2
청바지 White shirt 긴 생머리 oh my goshI’m not drunkBut 정신 못 차림 빛을 뿜어 내 눈부셔 난 시력 상실 흐려 지게 해 넌 부러지게 해 넌 어지럽게 해 넌 넘어지게 해 넌 멈추질 못해 oh no 땀을 흘려 난 더네가 꿀이라면 난 벌 I'm coming for your loveJam & butter-flyoh ahfeelin’ sweet insideoh mycaramello highso highwhen I take a biteof yait’s just thethe melody you make asleepbrass from your nose a quietsymphonythe do re misof your sleepy shufflingot me cheesing so hardwallace never go to sleep,2
흐려 지게 해 넌 부러지게 해 넌 어지럽게 해 넌 넘어지게 해 넌 멈추질 못해 oh no 땀을 흘려 난 더네가 꿀이라면 난 벌 I got you on my lovelove the textures of your mindtell me that it’s all of minelove the taste of all your lineswhen with youI feel newoh my godoh my godJam & butter-flyoh ahfeelin’ sweet insideoh mycaramello highso highwhen I take a biteof yaJam & butter-flyoh ahfeelin’ sweet insideoh mycaramello highso highwhen I take a biteof ya,2
하나둘 씩 모든 별을 세다가 깜빡 잠에 들어 버린 우리는 집에 돌아가는 법을 몰라서 밤새도록 떠들었네,2
이따 금씩 그리 울 텐데요 저 낮은 달을 보고 있으면 다시 생각이 날지 몰라요 훔쳐 버린 울음들을 하나하나 모으면 은하수를 만들 수 있을까,2
하나둘 씩 모든 별을 세다가 깜빡 잠에 들어 버린 우리는 집에 돌아가는 법을 몰라서 밤새도록 떠들었네,2
늦은 밤에 깨 어 있는 별들엔 하나같이 왜 그리움이 담겨 있을까,2
마주 보는 눈 속에 꼭 담아 둘 마음까진 부디 아끼지 말아 주세요 하나둘 씩 모든 별을 세다가 깜빡 잠에 들어 버린 우리는 집에 돌아가는 법을 몰라서 밤새도록 떠들었네,2
긴말은 하지 않기로 해요 숨이 차올랐을 테니까요 또 굳이 숨죽여 울지 않기로 나랑 한 번만 약속해 줘요,2
슬픔과 고통 가사가 있어야 돼 노래를 내려면 그래서 써 하지만 이 가사는 잊어 그냥 멜로 딜 들어 줘 멜로 딜 느껴 yeah yeah이 거릴 걸을 때에 버스에 탔을 때에 지하철에 서 있을 때에 수많은 얼굴들을 가만히 본 적이 있네,2
가슴이 쓰린 건 왜 표정이 없는 그 대 초점을 잃은 눈빛 모른 척 스쳐 지나치기에는 내 직업에 부끄러움을 느껴 내 자랑과 돈벌이 얘 긴할 만큼 했다고,2
느껴 하지만 힘내란 말도 오만해 보일 테니 그저 멜로 딜 느껴 yeah yeah 비가 쏟아질 때에 아무도 없을 때에 이 노랠 틀어 줘 내가 친구가 되어 줄게,2
yeah 위로 가 될지는 모르겠지만 고생 많았어,2
오늘도 yeah 괜찮을 거야 모든 게 괜히 그런 느낌이 드네,2
I don't know what to sayI don't know what to sayI don't know what to saytoday is a rainy dayI don't know what to sayI don't know what to sayI don't know what to saytoday is a rainy day 눈물이 흘러 이유는 모르겠지만 이 세상은 지금 날 울려 먹구름이 사라질 때까지만 그래 실컷 울어 그리고 또 아픔이 올 걸 알지만 다시 또 웃어 다시 또 웃어 yeah yeah 실수를 반복 해 왔네,2
후회를 밥 먹듯이 해 근데 후회는 또 다른 실수일 뿐이니까 흘려 보 내수 많은 시험들 앞에 떨어진 기분 난 알기에 깔보지 않아 공감해 겁쟁이들이 입 닫게 더 밀어 붙여 내가 어떻게 너의 고통을 이해할 수 있겠어 강요하는 건 싫어 다만 그저 너의 편이 돼서 멜로디로나마 네 귓가에 머물러 주고 싶어 다 주고 싶어 yeah yeah 비가 쏟아질 때에 아무도 없을 때에 이 노랠 틀어 줘 내가 친구가 되어 줄게,2
yeah 위로 가 될지는 모르겠지만 고생 많았어,2
오늘도 yeah 괜찮을 거야 모든 게 괜히 그런 느낌이 드네,2
아무도 모르게 왜 또 이렇게 난 혼자 멍하니 고 갤 숙이고 있어 내가 대체 왜 이러는 건데 포기하고 싶어 지는 걸 어떡해 다시 다짐을 해 봐도 이루기 힘든 바램일 뿐인걸,2
생각을 정리 해봐도 어지러운 내 맘 어떡해 Just dance Just dance All night long I wanna danceJust danceAll night long I wanna dance 하루하루가 쳇바퀴처럼 네 곁을 맴돌다 반복되는 듯해도 매일 매일이 네 가 없이 힘들어도 내일이 오면 it's gonna be alright 다시 다짐을 해봐도 이루기 힘든 바램일 뿐인걸,2
생각을 정리 해봐도 어지러운 내 맘 어떡해 Just danceJust dance All night long I wanna danceJust danceAll night long I wanna danceGood night good night good night 모든 걸 잠시 잊은 채로 Good night good night good night 다시 새롭게 시작할 수 있게 Good night good night good night 네 생각도 다 접어 두고 Good night good night good night 꿈속에서 너와 춤을 출래,2
I woke up in the morning yeahI’m searching for something ooh-ooh 인생 별거 없지 걍 살아 가맛 있는 걸 먹지 ooh yeah 대체 뭘 걱정해 난 겁도 없이 저질러 놓고 봐 고장이 난 듯이 조금 어리숙해도 안 어리석네,2
내 작은 머리 안엔 갤 럭 시 별의별 게 오 오 오 오 오 오오 오 오 오 오오 오 오 오 오 오오 오 오 오 오 우린 우리 목소리를 가지고 미끼 없이 낚시를 한다고 이 노래 끝나면 해야 돼 커튼콜 마음 담아 한 편의 뮤지컬을 끝내 버렸고 그 과정은 빛이 나 미안 너는 이제 날 못 따라와 민망한 순간이지 아무것도 아닌 내가 더 커지고 있으니까 날 누르려 하잖아,2
난 그냥 숨 쉬고 싶단 말이야 복잡한 생각은 말아 I’m searching for something oh 인생은 다 그렇지 인생은 다 똑같지 인생은 말이 없지 가끔은 말이 많지 인생은 가지가지 시간 참 빨리 가지 시작이 반이라지,2
시장이 반찬이라지,2
Life is good life is good 사람들 사는 거 다 똑같지 뭐 각자 다 사정 있어 속앓이도 하지만 사진에선 또 웃어야지,2
뭐 별거 없지 내 인생도 너랑 똑같이 내려갈 땐 미레도 다시 도 레 미 파 솔라까지 가 가지 말라는 법은 없고 언제 올지 몰라 너의 turn turn turn on the light 끄지 마 너의 빛 끝까지 싸워 봐 Turn turn turn on the light 어둠이 널 집어삼킬 때가 있을 거야 Turn turn turn on the light 끄지 마 너의 빛 끝까지 싸워 봐 Turn turn turn on the light 어둠이 널 집어삼킬 때도 끄지 마 오 오 오 오 오 오오 오 오 오 오오 오 오 오 오 오오 오 오 오 오 You’ll see the sunlight all rightAnd you will see the stars shine at nightAnd you will see the sunlight all rightAnd you will see the stars shine at nightYou’ll see the sunlight all right 오 오 오 오 오 오 And you will see the stars shine at night 오 오 오 오 오 And you will see the sunlight all right 오 오 오 오 오 오 And you will see the stars shine at night 오 오 오 오 오,2
남는 건 사진뿐? 내 인생이 남길 만하길 바래 Got no time to take ’emStill been all V’s and cheese 사진첩 대신 채워진 또 한 장의 앨범 시상식은 불참 정중히 거절하겠어요,2
내 성적은 투어 돌고 나면 늘 가득 찬 여권 도장들이 말해 참 잘했어요,2
"I’m proud of myselfProud of myselfMakin’ my tenth full length on my daughter’s tenthGot her arms around my neckNo chainsThis gold, none of y’all can flex 폰은 내려 놔 No more cameras 온 힘을 다해 살고 눈을 감을 때마다 미소 하나 건지는 것이게",2
real 인생 샷 찍는 법 다 그렇지 뭐 이래도 지랄저래도 또 지랄바람 잘 날 없네,2
사는 게 뭐 이러면 어 때 저러면 또 어 때 심심할 틈은 없네,2
I’m gonna be okI’m gonna be ok 우린 너무 많은 걸 기억하려 하고 관심을 갖네,2
시간 지나 사 진첩엔 쌓인 게 추억보다 후회로 가득 할 걸 알기에 눈이 아닌 맘에 행복을 담네,2
손에 잡히는 것 들은 결국 세월의 손 타고나면 녹이 스는 것 들 사랑 받고 사랑한 시간 만이 유일해 낡아 져도 아름다운 장면들 무대 위에서 바라본 조명보다 빛나는 수천 개의 눈동자 막을 내리며 서로의 몸에 기대 긴장을 풀며 던지는 농담 고된 하루의 시작과 끝에 네 미소는 쉼표 같은 존재 너란 필터를 거쳐 갈 때 평범한 내 일 상도 화보가 돼 다 그렇지 뭐 이래도 지랄저래도 또 지랄바람 잘 날 없네,2
사는 게 뭐 이러면 어 때 저러면 또 어 때 심심할 틈은 없네,2
난 너의 뒤에 설 때 밀려 오는 듯한 냄새가 너무 좋아 활짝 피어 있는 꽃들을 지날 때마다 너를 느껴 늘 똑같은 공기를 너와 마시면 마냥 좋을 것만 같아 눈 꼭 감은 채로 이대로 여기서 몸을 누이고 싶어 오늘 같은 이런 날이 올 때면 렛츠고 피크닉 oh oh with a girl friend 내리쬐는 햇살 가득 한 공원 let’s go picnicoh oh with a girl friend 몸을 뒤로 젖혀 점점 더 멀어 져 가는 해를 바라보면서 두 팔 가득 벌려 널 안고 있으면 시간이 멈춘 듯해 늘 똑같은 공기를 너와 마시면 마냥 좋을 것만 같아 눈 꼭 감은 채로 이대로 여기서 몸을 누이고 싶어 오늘 같은 이런 날이 올 때면 렛츠고 피크닉 oh oh with a girl friend 내리쬐는 햇살 가득 한 공원 let’s go picnicoh oh with a girl friend 오늘 같은 날에 baby 너와 함께 있는다는 게 나는 꿈만 같아서 저기 떨어지는 별을 보면서 우리 변치 말자고 굳게 약속 했었지 오늘 같은 이런 날이 올 때면 렛츠고 피크닉 oh oh with a girl friend 내리쬐는 햇살 가득 한 공원 let’s go picnicoh oh with a girl friend,2
삶은 시작됐어 평화로운 백지 위 어느새 먹지가 다 된 시기 두 손은 까매졌고 악에 받쳐 세상을 향해 욕을 외쳤지 넌 내 롤러 코스터 위에 올라탔지 자세한 건 모르고서 날 따라왔지 못 보던 모습 내가 살던 방식 목격하고 나면 식어 버릴 줄 알았지 이때쯤 되면 도망가던데 공들인 관계 또 망가졌네,2
라며 무덤덤한 척 계속 가 던 길을 갈 준비가 항상 돼 있는 나였지 하지만 넌 많이 달라 힘든 것도 재밌다고,2
하는 참 이상한 아이 잠이 잘 와 나의 맘 편 함의 증거 더 나은 사람이 돼 너와 있으면 이제 서로 마주보며 서자 내 옆에 내 팔을 베고서 자 영원히라는 말 꺼내게 한 너란 기적을 안고 매일 밤 이제 서로 마주보며 서자 내 옆에 내 팔을 베고서 자 나는 너 하나면 돼 넌 나의 옆에 있어 주기만 하면 돼 바다 건너 날아 온지 벌써 몇 년째 여태 시차 속에 살고 있었던 내게 낮과 밤을 바꿔준 니 덕에 건강해 이제는 몸과 마음에 좋은 것만 해 누워서 걸으며 앉아서 뭘 하던,2
내 넘버원 취미인 너와의 대화가 벌어져 머리 좋은 너와 하는 토론이 난 너무 좋아 분명 내가 틀렸단 걸 알아도 또 져 줘 난 니 긍정에 전염됐지 사실 니 전에 벽을 여럿 깼지 부끄러운 사실이지만 너에게는 하나 숨길 생각 없지 다 말로 하기 힘들어 우리가 어떤 사인지 이 노래가 1이면 우린 이미 9 쯤 와 있지 집 앞 공원에만 가도 여행 같아 느낌이 아주 좋아 우리 멀리 가자 이제 서로 마주보며 서자 내 옆에 내 팔을 베고서 자 영원히라는 말 꺼내게 한 너란 기적을 안고 매일 밤 이제 서로 마주보며 서자 내 옆에 내 팔을 베고서 자 나는 너 하나면 돼 넌 나의 옆에 있어 주기만 하면 돼 Walk to me girl walk to me I'mma let the world know what you are to me 영원한 건 없다지만 걱정은 하지 마 알잖아,2
원하는 건 끝까지 지키는 나니까 Let's walk 이제 서로 마주보며 서자 내 옆에 내 팔을 베고서 자 영원히라는 말 꺼내게 한 너란 기적을 안고 매일 밤 이제 서로 마주보며 서자 내 옆에 내 팔을 베고서 자 나는 너 하나면 돼 넌 나의 옆에 있어 주기만 하면 돼,2
No mercy no remorse 나를 짓밟고 뒤통수 친 미친놈들과 내 목을 노린 꼼수 그깟 잔머리 위로 Victory toast Like a boss 성공이 복수 원한보다 독하게 품은 행복이 복수 웃는 내 가족의 모습 적의 피눈물보다 훨씬 더 보기 좋소,2
내가 무너지는 걸 보고 싶겠지만 Sorry I'm good 내가 고개 숙인 걸 보고 싶겠지만 Sorry I'm good Yeah baby I I feel so good No matter what I'm always on my grind and I'm doin' good 내가 불행하길 비셔도 내가 엿 먹길 바라셔도 I'm gonna be fine My life is good Life is so good so good so good so good so good So good Life is so good so good so good so good so good So good 한때 내 삶은 mayday 음악이 날 구제해 죽음 직전에서 시간을 벌었지 숨 쉬는 매 순간이 payday 나도 겪어 봐서 알어 뜨거운 니 열정에 비해 세상은 차가워 오늘 밤은 기분 좋게 마셔 현실은 흉해도 니 인생은 아름다워 내가 무너지는 걸 보고 싶겠지만 Sorry I'm good 내가 고개 숙인 걸 보고 싶겠지만 Sorry I'm good Yeah baby I I feel so good No matter what I'm always on my grind and I'm doin' good 내가 불행하길 비셔도 내가 엿 먹길 바라셔도 I'm gon be fine My life is good Life is so good so good so good so good so good So good Life is so good so good so good so good so good So good My life is So good,2
There's no books on my backpackLights lights lights lightsLights lights lights lights 살짝 풀려 있었던 어느 한 아이의 동공 얼굴 속엔 근심 가득히 이미 눈의 빛은 잃었고 반복되는 삶 속에 꿈은 잃은 지 오래 시간이 지나면 달라질 거 라 입술을 깨무네,2
We are in the war 전쟁 같은 생활 더 이상은 지겨워 도망가고 싶은 마음에 3000 원짜리 earphone을 끼웠고 그렇게 밤새 음악과 함께 잠자리로 Can't leave music alone cuz I need'em 음악은 내게 희망을 만들었고 나에 겐 전부였기에 몰래 산 mic와 빌려 쓰던,2
Dre's headphone 수능이 코앞이어도 all I did was rap 돌아가고 싶진 않아 아니 돌아간다 해도 다른 길은 안 가 I'm so into this life 깜깜 했던,2
내 과거와 현재에 Ima put lights on이 세상 누구보다 더 멋진 시간을 보내고 있는 넌 어떤지 혹 또 헷갈려도 절대 흔들리지는 마 like ooh oohI got to find my ownso Ima turn the lights onye Ima turn the lights onTurn all the lights on 어디를 가도 공 허해서 이기적이라도 내 마음 알아주길 원해서 상처도 많이 줬지 착한 너란 아이의 마음에 술보다 눈물을 더 삼켰어 떠나간 다음에다 잠든 밤에 편지를 적고 구겨 수십 번 반복해서 맞춰도 어긋났었던 그녀 그래 관둬 우린 아니었네,2
처음부터 2년이 지난 전화로 넌 말했지 우린 어렸어 널 기다리던 밤처럼 불을 꺼도 잠은 안 오고 습관이 됐어,2
너에게 적 던 편지들이 이젠 음악이 돼서 버틸 만해 너 아니어도 돌아가고 싶진 않아 아니 돌아간다 해도 다른 길은 안가 now 이제 내 길을 찾았지 깜깜 했던,2
내 과거와 현재에 Ima put lights on이 세상 누구보다 더 멋진 시간을 보내고 있는 넌 어떤지 혹 또 헷갈려도 절대 흔들리지는 마 like ooh oohI got to find my ownso Ima turn the lights onye Ima turn the lights on이 세상 누구보다 더 멋진 시간을 보내고 있는 넌 어떤지 혹 또 헷갈려도 절대 흔들리지는 마 like ooh oohI got to find my ownso Ima turn the lights onye Ima turn the lights on이 세상 누구보다 더 멋진 시간을 보내고 있는 넌 어떤지 혹 또 헷갈려도 절대 흔들리지는 마 like ooh oohI got to find my ownso Ima turn the lights onye Ima turn the lights on,2
아무도 모르게 해 그런 게 더 나을 거야 아마 서운할 걸 알지만 안 돼 모른 척 할거야 원하던 걸 해봐도 갑갑해 뭐라고 말해도 참 답답해 너 알고 있을까,2
Like a star 그 위를 걷고 싶어 너처럼만 밑에서 바라보는 너 숨막히게도 밝아 Isn’t it 어떻게 지내 여긴 날씨가 좋아 어떻게 지내 좋은 일 있길 바 래따 뜻한 말을 해난 너무도 추운데 I can’t stop this rainI can’t stop this rain 원하던 걸 해봐도 갑갑해 뭐라고 말해도 참 답답해 너 알고 있을까,2
Like a star 그 위를 걷고 싶어 너처럼만 밑에서 바라보는 너 숨막히게도 밝아 Isn’t it 어떻게 지내 여긴 날씨가 좋아 어떻게 지내 좋은 일 있길 바 래따 뜻한 말을 해난 너무도 추운데 I can’t stop this rainI can’t stop this rain 아마도 그때부터 Like a star 그 위를 걷고 싶어 너처럼만 밑에서 바라보는 너 숨 막히게도 밝아 Isn’ t it 어떻게 지내 어떻게 지내 따뜻한 말을 해난 너무도 추운데 I can’t stop this rainI can’t stop this rain,2
모르겠어 난 I can’t figure out 복잡한 내 맘정리가 잘 안돼 I'm waiting til I dieso I never have to be alone 내가 죽는다면 내 주머니 싹 다 비워 줘 가진 것 하나 없지 I got nothing 뭐든 쌓아 둘 걸 내 이름 앞에 I’m too hard to loveand that’s my bad 떠나 가도 돼 but please be right backfell in loveyou fell in love with meI don’t know what you see in metripping upyou telling me that I’m the oneI’m bout to cut youlike a bouncer 내 앞에 있는다는 건 믿을 수가 없는 일 누가 봐도 네 손 핸 데 대체 왜 굳이 I’ll probably cut you deepbut love is still what you bleed 너에게 상처 남길 것만 같아 타 투 이스트 it hurts me when I see you smile 미소 짓지 마 별로란 걸 알아 난 I still wish that you were mine 이미 알고 있을까,2
